Canton,Mois,Janvier 2016,Janvier 2016,Janvier 2016,Février 2016,Février 2016,Février 2016,Mars 2016,Mars 2016,Mars 2016,Avril 2016,Avril 2016,Avril 2016,Mai 2016,Mai 2016,Mai 2016,Juin 2016,Juin 2016,Juin 2016,Juillet 2016,Juillet 2016,Juillet 2016,Août 2016,Août 2016,Août 2016,Septembre 2016,Septembre 2016,Septembre 2016,Octobre 2016,Octobre 2016,Octobre 2016,Novembre 2016,Novembre 2016,Novembre 2016,Décembre 2016,Décembre 2016,Décembre 2016,Total,Total,Total
 ,Mesures,Taux de chômage,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs
Zurich,,3.8,37'642,6'311,3.8,37'956,6'454,3.8,37'352,6'532,3.6,36'389,6'513,3.6,36'014,6'713,3.5,35'474,6'698,3.5,35'579,6'729,3.5,35'790,6'690,3.6,36'233,6'771,3.6,36'691,6'923,3.7,37'720,7'069,3.8,38'591,7'021,3.7,441'431,80'424
Berne,,2.9,21'053,4'551,2.9,20'982,4'718,2.8,20'902,4'960,2.7,20'093,4'723,2.6,19'492,4'733,2.5,18'883,4'796,2.5,18'968,4'774,2.6,18'986,4'499,2.6,19'218,4'702,2.6,19'836,4'948,2.8,20'961,5'208,3,21'637,5'001,2.7,241'011,57'613
Lucerne,,2.3,7'897,2'733,2.3,7'903,2'863,2.2,7'825,2'903,2.1,7'554,2'879,2,7'332,2'822,1.9,7'148,2'810,1.9,7'023,2'702,2,7'125,2'765,1.9,7'126,2'841,1.9,7'246,2'952,2,7'549,3'120,2.2,7'871,2'988,2.1,89'599,34'378
Uri,,1.3,440,184,1.4,439,177,1.2,408,186,1,370,169,1,344,161,0.7,306,162,0.7,283,141,0.9,313,138,0.9,332,153,1,343,149,1.1,376,158,1.3,407,165,1,4'361,1'943
Schwyz,,2,2'425,714,2,2'458,735,1.9,2'390,750,1.8,2'282,738,1.7,2'196,738,1.6,2'128,742,1.6,2'127,727,1.6,2'153,716,1.6,2'182,749,1.7,2'247,773,1.8,2'375,818,1.9,2'512,829,1.8,27'475,9'029
Obwald,,1,409,188,1.2,426,174,1.2,431,168,1.1,397,165,1,389,168,0.9,355,171,1,347,146,0.9,340,152,0.8,335,167,1,367,158,0.9,359,164,1,359,137,1,4'514,1'958
Nidwald,,1.3,525,219,1.1,536,265,1.2,538,247,1.1,506,250,1.1,511,242,1.1,506,244,1.2,498,203,1.2,493,201,1.1,508,243,1.1,499,237,1.1,519,254,1.3,510,207,1.1,6'149,2'812
Glaris,,2.6,898,312,2.5,894,326,2.5,898,326,2.4,866,331,2.2,835,333,2.2,828,342,2.3,825,316,2.3,823,316,2.3,806,297,2.2,797,298,2.4,842,309,2.5,856,287,2.4,10'168,3'793
Zoug,,2.5,2'721,1'031,2.5,2'749,1'064,2.4,2'703,1'075,2.3,2'633,1'048,2.3,2'623,1'047,2.3,2'607,1'044,2.3,2'556,1'027,2.3,2'574,990,2.3,2'574,1'001,2.3,2'600,1'028,2.3,2'690,1'135,2.5,2'813,1'120,2.4,31'843,12'610
Fribourg,,3.4,9'102,3'490,3.2,8'974,3'667,3.1,8'679,3'658,2.8,8'230,3'591,2.6,7'866,3'588,2.5,7'688,3'658,2.6,7'581,3'364,2.8,7'960,3'322,2.6,7'907,3'676,2.6,8'105,3'768,2.7,8'475,4'098,3.1,9'019,3'981,2.8,99'586,43'861
Soleure,,3.2,6'954,2'322,3.1,7'002,2'448,3,6'915,2'465,2.9,6'798,2'517,2.9,6'727,2'538,2.7,6'672,2'659,2.7,6'614,2'651,2.9,6'744,2'562,2.9,6'812,2'592,2.9,6'883,2'651,3,7'099,2'719,3.2,7'272,2'593,3,82'492,30'717
Bâle-Ville,,4,5'534,1'587,4.1,5'711,1'649,4,5'578,1'643,4,5'643,1'659,3.9,5'513,1'657,3.8,5'422,1'700,3.6,5'260,1'661,3.7,5'273,1'608,3.7,5'301,1'652,3.7,5'375,1'698,3.9,5'622,1'764,4.1,5'788,1'756,3.9,66'020,20'034
