Canton,Nationalité,Mois,Janvier 2017,Janvier 2017,Janvier 2017,Janvier 2017,Février 2017,Février 2017,Février 2017,Février 2017,Mars 2017,Mars 2017,Mars 2017,Mars 2017,Avril 2017,Avril 2017,Avril 2017,Avril 2017,Mai 2017,Mai 2017,Mai 2017,Mai 2017,Juin 2017,Juin 2017,Juin 2017,Juin 2017,Juillet 2017,Juillet 2017,Juillet 2017,Juillet 2017,Août 2017,Août 2017,Août 2017,Août 2017,Septembre 2017,Septembre 2017,Septembre 2017,Septembre 2017,Octobre 2017,Octobre 2017,Octobre 2017,Octobre 2017,Total,Total,Total,Total
 , ,Mesures,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs
Zurich,Etrangers,,6.6,15'060,18'358,3'298,6.5,14'787,18'189,3'402,6.3,14'382,17'808,3'426,6,13'572,16'926,3'354,5.7,13'097,16'516,3'419,5.6,12'724,16'174,3'450,5.5,12'546,15'950,3'404,5.3,12'151,15'504,3'353,5.3,12'111,15'384,3'273,0,0,0,0,5.3,120'430,150'809,30'379
Zurich,Suisses,,2.9,17'327,20'982,3'655,2.8,16'832,20'559,3'727,2.8,16'459,20'243,3'784,2.7,15'970,19'684,3'714,2.6,15'527,19'268,3'741,2.6,15'201,18'960,3'759,2.6,15'446,19'162,3'716,2.6,15'363,19'038,3'675,2.5,15'114,18'772,3'658,0,0,0,0,2.4,143'239,176'668,33'429
Berne,Etrangers,,7.5,6'670,8'570,1'900,7.4,6'562,8'495,1'933,7.1,6'258,8'330,2'072,6.8,6'004,7'845,1'841,6.2,5'494,7'379,1'885,5.7,5'065,6'888,1'823,5.5,4'911,6'800,1'889,5.5,4'913,6'761,1'848,5.5,4'900,6'859,1'959,0,0,0,0,5.7,50'777,67'927,17'150
Berne,Suisses,,2.2,10'284,13'016,2'732,2.1,10'176,12'872,2'696,2.1,9'777,12'559,2'782,2,9'318,12'037,2'719,1.9,8'903,11'640,2'737,1.8,8'525,11'342,2'817,1.8,8'722,11'642,2'920,1.9,8'916,11'632,2'716,1.8,8'758,11'526,2'768,0,0,0,0,1.8,83'379,108'266,24'887
Lucerne,Etrangers,,5.4,2'221,3'550,1'329,5.1,2'094,3'524,1'430,4.8,1'969,3'400,1'431,4.6,1'889,3'242,1'353,4.3,1'760,3'127,1'367,4.1,1'656,2'998,1'342,3.9,1'591,2'893,1'302,3.9,1'606,2'915,1'309,3.9,1'593,2'902,1'309,0,0,0,0,4,16'379,28'551,12'172
Lucerne,Suisses,,1.5,2'764,4'400,1'636,1.5,2'714,4'333,1'619,1.4,2'524,4'174,1'650,1.3,2'426,4'061,1'635,1.3,2'322,3'964,1'642,1.2,2'228,3'916,1'688,1.3,2'284,3'912,1'628,1.3,2'386,3'938,1'552,1.3,2'292,3'854,1'562,0,0,0,0,1.2,21'940,36'552,14'612
Uri,Etrangers,,6.9,175,249,74,6.4,161,253,92,5.8,148,233,85,5.3,135,209,74,4.1,104,176,72,3,75,137,62,2.7,69,127,58,2.2,57,122,65,2.1,53,130,77,0,0,0,0,3.9,977,1'636,659
Uri,Suisses,,0.7,122,215,93,0.7,115,204,89,0.6,108,198,90,0.6,93,185,92,0.6,92,183,91,0.5,84,157,73,0.4,60,138,78,0.4,66,145,79,0.4,59,127,68,0,0,0,0,0.5,799,1'552,753
Schwyz,Etrangers,,4.6,835,1'242,407,4.5,809,1'236,427,4.3,772,1'206,434,4,710,1'139,429,3.6,651,1'080,429,3.5,625,1'050,425,3.5,630,1'023,393,3.5,631,1'040,409,3.4,617,1'027,410,0,0,0,0,3.5,6'280,10'043,3'763
