Canton,Nationalité,Mois,Janvier 2016,Janvier 2016,Janvier 2016,Janvier 2016,Février 2016,Février 2016,Février 2016,Février 2016,Mars 2016,Mars 2016,Mars 2016,Mars 2016,Avril 2016,Avril 2016,Avril 2016,Avril 2016,Mai 2016,Mai 2016,Mai 2016,Mai 2016,Juin 2016,Juin 2016,Juin 2016,Juin 2016,Juillet 2016,Juillet 2016,Juillet 2016,Juillet 2016,Août 2016,Août 2016,Août 2016,Août 2016,Septembre 2016,Septembre 2016,Septembre 2016,Septembre 2016,Octobre 2016,Octobre 2016,Octobre 2016,Octobre 2016,Novembre 2016,Novembre 2016,Novembre 2016,Novembre 2016,Décembre 2016,Décembre 2016,Décembre 2016,Décembre 2016,Total,Total,Total,Total
 , ,Mesures,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs
Zurich,Etrangers,,6.4,14'673,17'641,2'968,6.5,14'743,17'797,3'054,6.3,14'362,17'433,3'071,6.1,13'807,16'914,3'107,5.9,13'438,16'643,3'205,5.7,13'002,16'247,3'245,5.6,12'756,16'013,3'257,5.6,12'717,15'984,3'267,5.7,13'016,16'250,3'234,5.8,13'320,16'615,3'295,6.1,13'988,17'324,3'336,6.4,14'614,17'957,3'343,6,164'436,202'818,38'382
Zurich,Suisses,,2.8,16'658,20'001,3'343,2.8,16'759,20'159,3'400,2.8,16'458,19'919,3'461,2.7,16'069,19'475,3'406,2.7,15'863,19'371,3'508,2.7,15'774,19'227,3'453,2.7,16'094,19'566,3'472,2.8,16'383,19'806,3'423,2.8,16'446,19'983,3'537,2.8,16'448,20'076,3'628,2.8,16'663,20'396,3'733,2.9,16'956,20'634,3'678,2.8,196'571,238'613,42'042
Berne,Etrangers,,7.3,6'522,8'357,1'835,7.2,6'383,8'340,1'957,7,6'242,8'349,2'107,6.7,5'939,7'889,1'950,6.3,5'562,7'458,1'896,5.9,5'245,7'165,1'920,5.8,5'106,6'986,1'880,5.8,5'137,6'991,1'854,5.9,5'220,7'258,2'038,6.3,5'575,7'729,2'154,6.9,6'083,8'320,2'237,7.3,6'488,8'504,2'016,6.5,69'502,93'346,23'844
Berne,Suisses,,2.1,9'980,12'696,2'716,2.1,9'881,12'642,2'761,2,9'700,12'553,2'853,2,9'431,12'204,2'773,1.9,9'197,12'034,2'837,1.9,8'842,11'718,2'876,1.9,9'088,11'982,2'894,2,9'350,11'995,2'645,2,9'296,11'960,2'664,2,9'313,12'107,2'794,2,9'670,12'641,2'971,2.1,10'148,13'133,2'985,2,113'896,147'665,33'769
Lucerne,Etrangers,,5.6,2'288,3'546,1'258,5.3,2'166,3'513,1'347,5.1,2'094,3'478,1'384,4.9,1'984,3'336,1'352,4.6,1'879,3'195,1'316,4.3,1'743,3'059,1'316,4.2,1'699,2'976,1'277,4.1,1'686,3'008,1'322,4.2,1'695,3'028,1'333,4.2,1'732,3'137,1'405,4.6,1'861,3'318,1'457,5.1,2'100,3'467,1'367,4.7,22'927,39'061,16'134
Lucerne,Suisses,,1.6,2'876,4'351,1'475,1.6,2'874,4'390,1'516,1.6,2'828,4'347,1'519,1.5,2'691,4'218,1'527,1.4,2'631,4'137,1'506,1.4,2'595,4'089,1'494,1.4,2'622,4'047,1'425,1.5,2'674,4'117,1'443,1.4,2'590,4'098,1'508,1.4,2'562,4'109,1'547,1.4,2'568,4'231,1'663,1.5,2'783,4'404,1'621,1.5,32'294,50'538,18'244
Uri,Etrangers,,5.7,144,240,96,6,153,245,92,5.2,132,237,105,4.7,119,208,89,3.7,94,179,85,2.8,72,154,82,2.6,66,135,69,2.9,74,142,68,3,77,153,76,3.9,98,171,73,4.5,114,199,85,5.3,135,207,72,4.2,1'278,2'270,992
Uri,Suisses,,0.7,112,200,88,0.7,109,194,85,0.5,90,171,81,0.5,82,162,80,0.5,89,165,76,0.4,72,152,80,0.5,76,148,72,0.6,101,171,70,0.6,102,179,77,0.6,96,172,76,0.6,104,177,73,0.6,107,200,93,0.6,1'140,2'091,951
Schwyz,Etrangers,,4.6,830,1'169,339,4.5,815,1'191,376,4.3,766,1'127,361,4,714,1'073,359,3.7,662,1'028,366,3.5,636,1'013,377,3.5,626,981,355,3.5,627,992,365,3.5,624,1'022,398,3.6,640,1'069,429,3.9,709,1'162,453,4.4,798,1'223,425,3.9,8'447,13'050,4'603
