Canton,Mois,Janvier 2016,Janvier 2016,Janvier 2016,Janvier 2016,Février 2016,Février 2016,Février 2016,Février 2016,Mars 2016,Mars 2016,Mars 2016,Mars 2016,Avril 2016,Avril 2016,Avril 2016,Avril 2016,Mai 2016,Mai 2016,Mai 2016,Mai 2016,Juin 2016,Juin 2016,Juin 2016,Juin 2016,Juillet 2016,Juillet 2016,Juillet 2016,Juillet 2016,Août 2016,Août 2016,Août 2016,Août 2016,Septembre 2016,Septembre 2016,Septembre 2016,Septembre 2016,Octobre 2016,Octobre 2016,Octobre 2016,Octobre 2016,Novembre 2016,Novembre 2016,Novembre 2016,Novembre 2016,Décembre 2016,Décembre 2016,Décembre 2016,Décembre 2016,Total,Total,Total,Total
 ,Mesures,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs
Zurich,,3.8,31'331,37'642,6'311,3.8,31'502,37'956,6'454,3.8,30'820,37'352,6'532,3.6,29'876,36'389,6'513,3.6,29'301,36'014,6'713,3.5,28'776,35'474,6'698,3.5,28'850,35'579,6'729,3.5,29'100,35'790,6'690,3.6,29'462,36'233,6'771,3.6,29'768,36'691,6'923,3.7,30'651,37'720,7'069,3.8,31'570,38'591,7'021,3.7,361'007,441'431,80'424
Berne,,2.9,16'502,21'053,4'551,2.9,16'264,20'982,4'718,2.8,15'942,20'902,4'960,2.7,15'370,20'093,4'723,2.6,14'759,19'492,4'733,2.5,14'087,18'883,4'796,2.5,14'194,18'968,4'774,2.6,14'487,18'986,4'499,2.6,14'516,19'218,4'702,2.6,14'888,19'836,4'948,2.8,15'753,20'961,5'208,3,16'636,21'637,5'001,2.7,183'398,241'011,57'613
Lucerne,,2.3,5'164,7'897,2'733,2.3,5'040,7'903,2'863,2.2,4'922,7'825,2'903,2.1,4'675,7'554,2'879,2,4'510,7'332,2'822,1.9,4'338,7'148,2'810,1.9,4'321,7'023,2'702,2,4'360,7'125,2'765,1.9,4'285,7'126,2'841,1.9,4'294,7'246,2'952,2,4'429,7'549,3'120,2.2,4'883,7'871,2'988,2.1,55'221,89'599,34'378
Uri,,1.3,256,440,184,1.4,262,439,177,1.2,222,408,186,1,201,370,169,1,183,344,161,0.7,144,306,162,0.7,142,283,141,0.9,175,313,138,0.9,179,332,153,1,194,343,149,1.1,218,376,158,1.3,242,407,165,1,2'418,4'361,1'943
Schwyz,,2,1'711,2'425,714,2,1'723,2'458,735,1.9,1'640,2'390,750,1.8,1'544,2'282,738,1.7,1'458,2'196,738,1.6,1'386,2'128,742,1.6,1'400,2'127,727,1.6,1'437,2'153,716,1.6,1'433,2'182,749,1.7,1'474,2'247,773,1.8,1'557,2'375,818,1.9,1'683,2'512,829,1.8,18'446,27'475,9'029
Obwald,,1,221,409,188,1.2,252,426,174,1.2,263,431,168,1.1,232,397,165,1,221,389,168,0.9,184,355,171,1,201,347,146,0.9,188,340,152,0.8,168,335,167,1,209,367,158,0.9,195,359,164,1,222,359,137,1,2'556,4'514,1'958
Nidwald,,1.3,306,525,219,1.1,271,536,265,1.2,291,538,247,1.1,256,506,250,1.1,269,511,242,1.1,262,506,244,1.2,295,498,203,1.2,292,493,201,1.1,265,508,243,1.1,262,499,237,1.1,265,519,254,1.3,303,510,207,1.1,3'337,6'149,2'812
Glaris,,2.6,586,898,312,2.5,568,894,326,2.5,572,898,326,2.4,535,866,331,2.2,502,835,333,2.2,486,828,342,2.3,509,825,316,2.3,507,823,316,2.3,509,806,297,2.2,499,797,298,2.4,533,842,309,2.5,569,856,287,2.4,6'375,10'168,3'793
Zoug,,2.5,1'690,2'721,1'031,2.5,1'685,2'749,1'064,2.4,1'628,2'703,1'075,2.3,1'585,2'633,1'048,2.3,1'576,2'623,1'047,2.3,1'563,2'607,1'044,2.3,1'529,2'556,1'027,2.3,1'584,2'574,990,2.3,1'573,2'574,1'001,2.3,1'572,2'600,1'028,2.3,1'555,2'690,1'135,2.5,1'693,2'813,1'120,2.4,19'233,31'843,12'610
