Canton,Nationalité,Mois,Janvier 2017,Janvier 2017,Janvier 2017,Janvier 2017,Février 2017,Février 2017,Février 2017,Février 2017,Mars 2017,Mars 2017,Mars 2017,Mars 2017,Avril 2017,Avril 2017,Avril 2017,Avril 2017,Mai 2017,Mai 2017,Mai 2017,Mai 2017,Juin 2017,Juin 2017,Juin 2017,Juin 2017,Juillet 2017,Juillet 2017,Juillet 2017,Juillet 2017,Août 2017,Août 2017,Août 2017,Août 2017,Septembre 2017,Septembre 2017,Septembre 2017,Septembre 2017
 , ,Mesures,Chômeurs inscrits,Entrées au chômage,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Chômeurs inscrits,Entrées au chômage,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Chômeurs inscrits,Entrées au chômage,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Chômeurs inscrits,Entrées au chômage,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Chômeurs inscrits,Entrées au chômage,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Chômeurs inscrits,Entrées au chômage,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Chômeurs inscrits,Entrées au chômage,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Chômeurs inscrits,Entrées au chômage,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Chômeurs inscrits,Entrées au chômage,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs
Zurich,Etrangers,,15'060,2'679,18'358,3'298,14'787,2'071,18'189,3'402,14'382,2'334,17'808,3'426,13'572,1'702,16'926,3'354,13'097,2'159,16'516,3'419,12'724,1'997,16'174,3'450,12'546,2'148,15'950,3'404,12'151,1'958,15'504,3'353,12'111,2'327,15'384,3'273
Zurich,Suisses,,17'327,3'243,20'982,3'655,16'832,2'339,20'559,3'727,16'459,2'700,20'243,3'784,15'970,2'211,19'684,3'714,15'527,2'389,19'268,3'741,15'201,2'365,18'960,3'759,15'446,2'865,19'162,3'716,15'363,2'935,19'038,3'675,15'114,2'740,18'772,3'658
Zurich,Total,,32'387,5'922,39'340,6'953,31'619,4'410,38'748,7'129,30'841,5'034,38'051,7'210,29'542,3'913,36'610,7'068,28'624,4'548,35'784,7'160,27'925,4'362,35'134,7'209,27'992,5'013,35'112,7'120,27'514,4'893,34'542,7'028,27'225,5'067,34'156,6'931
Berne,Etrangers,,6'670,1'197,8'570,1'900,6'562,875,8'495,1'933,6'258,989,8'330,2'072,6'004,945,7'845,1'841,5'494,825,7'379,1'885,5'065,766,6'888,1'823,4'911,827,6'800,1'889,4'913,1'020,6'761,1'848,4'900,999,6'859,1'959
Berne,Suisses,,10'284,2'004,13'016,2'732,10'176,1'578,12'872,2'696,9'777,1'596,12'559,2'782,9'318,1'424,12'037,2'719,8'903,1'455,11'640,2'737,8'525,1'337,11'342,2'817,8'722,1'666,11'642,2'920,8'916,2'043,11'632,2'716,8'758,1'628,11'526,2'768
Berne,Total,,16'954,3'201,21'586,4'632,16'738,2'453,21'367,4'629,16'035,2'585,20'889,4'854,15'322,2'369,19'882,4'560,14'397,2'280,19'019,4'622,13'590,2'103,18'230,4'640,13'633,2'493,18'442,4'809,13'829,3'063,18'393,4'564,13'658,2'627,18'385,4'727
Lucerne,Etrangers,,2'221,660,3'550,1'329,2'094,427,3'524,1'430,1'969,514,3'400,1'431,1'889,438,3'242,1'353,1'760,441,3'127,1'367,1'656,389,2'998,1'342,1'591,423,2'893,1'302,1'606,455,2'915,1'309,1'593,502,2'902,1'309
Lucerne,Suisses,,2'764,733,4'400,1'636,2'714,553,4'333,1'619,2'524,618,4'174,1'650,2'426,573,4'061,1'635,2'322,599,3'964,1'642,2'228,525,3'916,1'688,2'284,658,3'912,1'628,2'386,722,3'938,1'552,2'292,664,3'854,1'562
Lucerne,Total,,4'985,1'393,7'950,2'965,4'808,980,7'857,3'049,4'493,1'132,7'574,3'081,4'315,1'011,7'303,2'988,4'082,1'040,7'091,3'009,3'884,914,6'914,3'030,3'875,1'081,6'805,2'930,3'992,1'177,6'853,2'861,3'885,1'166,6'756,2'871
