,Unnamed: 0,conflictid,location,sidea,side b,sidebid,incomp,terr,year,intensity,cumint,type,start_month,ependdate,region,ISO2,decolonisation_year,colonizer
3,3,201,Cambodia,France,Khmer Issarak,160,1,Cambodia,1946,1,0,1,8,,3,KH,1776,France
4,4,201,Cambodia,France,Khmer Issarak,160,1,Cambodia,1947,1,0,1,8,,3,KH,1776,France
5,5,201,Cambodia,France,Khmer Issarak,160,1,Cambodia,1948,1,0,1,8,,3,KH,1776,France
6,6,201,Cambodia,France,Khmer Issarak,160,1,Cambodia,1949,1,0,1,8,,3,KH,1776,France
7,7,201,Cambodia,France,Khmer Issarak,160,1,Cambodia,1950,1,0,1,8,,3,KH,1776,France
8,8,201,Cambodia,France,Khmer Issarak,160,1,Cambodia,1951,1,0,1,8,,3,KH,1776,France
9,9,201,Cambodia,France,Khmer Issarak,160,1,Cambodia,1952,1,0,1,8,,3,KH,1776,France
10,10,201,Cambodia,France,Khmer Issarak,160,1,Cambodia,1953,1,0,1,8,1953-11-09,3,KH,1776,France
19,19,204,Indonesia,Netherlands,Indonesian People's Army,163,1,Indonesia,1946,1,0,1,10,,3,ID,1954,Netherlands
20,20,204,Indonesia,Netherlands,Indonesian People's Army,163,1,Indonesia,1947,1,0,1,10,,3,ID,1954,Netherlands
21,21,204,Indonesia,Netherlands,Indonesian People's Army,163,1,Indonesia,1948,1,0,1,10,,3,ID,1954,Netherlands
22,22,204,Indonesia,Netherlands,Indonesian People's Army,163,1,Indonesia,1949,1,0,1,10,1949-08-15,3,ID,1954,Netherlands
41,41,207,Israel,United Kingdom,IZL [Etzel],166,1,Israel,1946,1,0,1,3,1946-12-31,2,IL,1867,United Kingdom
42,42,208,Laos,France,Lao Issara,167,1,Laos,1946,1,0,1,3,,3,LA,1776,France
43,43,208,Laos,France,Lao Issara,167,1,Laos,1947,1,0,1,3,,3,LA,1776,France
44,44,208,Laos,France,Lao Issara,167,1,Laos,1948,1,0,1,3,,3,LA,1776,France
45,45,208,Laos,France,Lao Issara,167,1,Laos,1949,1,0,1,3,,3,LA,1776,France
46,46,208,Laos,France,Lao Issara,167,1,Laos,1950,1,1,1,3,,3,LA,1776,France
47,47,208,Laos,France,Lao Issara,167,1,Laos,1951,1,1,1,3,,3,LA,1776,France
48,48,208,Laos,France,Lao Issara,167,1,Laos,1952,1,1,1,3,,3,LA,1776,France
49,49,208,Laos,France,Lao Issara,167,1,Laos,1953,1,1,1,3,1953-12-31,3,LA,1776,France
105,105,210,Russia,Russia (Soviet Union),Forest Brothers,171,1,Estonia,1946,1,0,3,12,,1,EE,1991,Russia
106,106,210,Russia,Russia (Soviet Union),Forest Brothers,171,1,Estonia,1947,1,1,3,12,,1,EE,1991,Russia
107,107,210,Russia,Russia (Soviet Union),Forest Brothers,171,1,Estonia,1948,1,1,3,12,1948-12-31,1,EE,1991,Russia
108,108,211,Russia,Russia (Soviet Union),"LNPA, LTS(p)A","172, 173",1,Latvia,1946,1,0,3,12,1946-12-31,1,LV,1991,Russia
109,109,212,Russia,Russia (Soviet Union),BDPS,174,1,Lithuania,1946,2,1,3,6,,1,LT,1991,Russia
110,110,212,Russia,Russia (Soviet Union),BDPS,174,1,Lithuania,1947,2,1,3,6,,1,LT,1991,Russia
111,111,212,Russia,Russia (Soviet Union),BDPS,174,1,Lithuania,1948,1,1,3,6,1948-12-31,1,LT,1991,Russia
112,112,213,Russia,Russia (Soviet Union),UPA,175,1,Ukraine,1946,2,1,3,12,,1,UA,1991,Russia
113,113,213,Russia,Russia (Soviet Union),UPA,175,1,Ukraine,1947,2,1,3,12,,1,UA,1991,Russia
114,114,213,Russia,Russia (Soviet Union),UPA,175,1,Ukraine,1948,2,1,3,12,,1,UA,1991,Russia
115,115,213,Russia,Russia (Soviet Union),UPA,175,1,Ukraine,1949,1,1,3,12,,1,UA,1991,Russia
116,116,213,Russia,Russia (Soviet Union),UPA,175,1,Ukraine,1950,1,1,3,12,1950-12-31,1,UA,1991,Russia
117,117,214,"France, Thailand",France,Government of Thailand,147,1,Northern Cambodia,1946,1,0,2,5,1946-11-17,"1, 3",FR,1776,France
119,119,216,Vietnam,France,Viet minh,176,1,Vietnam,1946,2,1,1,11,,3,VN,1776,France
120,120,216,Vietnam,France,Viet minh,176,1,Vietnam,1947,2,1,1,11,,3,VN,1776,France
121,121,216,Vietnam,France,Viet minh,176,1,Vietnam,1948,2,1,1,11,,3,VN,1776,France
122,122,216,Vietnam,France,Viet minh,176,1,Vietnam,1949,2,1,1,11,,3,VN,1776,France
123,123,216,Vietnam,France,Viet minh,176,1,Vietnam,1950,2,1,1,11,,3,VN,1776,France
124,124,216,Vietnam,France,Viet minh,176,1,Vietnam,1951,2,1,1,11,,3,VN,1776,France
125,125,216,Vietnam,France,Viet minh,176,1,Vietnam,1952,2,1,1,11,,3,VN,1776,France
126,126,216,Vietnam,France,Viet minh,176,1,Vietnam,1953,2,1,1,11,,3,VN,1776,France
127,127,216,Vietnam,France,Viet minh,176,1,Vietnam,1954,2,1,1,11,1954-07-20,3,VN,1776,France
150,150,219,Madagascar,France,MDRM,179,1,Malagasy,1947,2,1,1,3,1947-12-31,4,MG,1776,France
345,345,229,Malaysia,United Kingdom,CPM,196,1,Malaya,1948,1,0,1,6,,3,MY,1867,United Kingdom
346,346,229,Malaysia,United Kingdom,CPM,196,1,Malaya,1949,1,1,1,6,,3,MY,1867,United Kingdom
347,347,229,Malaysia,United Kingdom,CPM,196,1,Malaya,1950,2,1,1,6,,3,MY,1867,United Kingdom
348,348,229,Malaysia,United Kingdom,CPM,196,1,Malaya,1951,2,1,1,6,,3,MY,1867,United Kingdom
349,349,229,Malaysia,United Kingdom,CPM,196,1,Malaya,1952,2,1,1,6,,3,MY,1867,United Kingdom
350,350,229,Malaysia,United Kingdom,CPM,196,1,Malaya,1953,2,1,1,6,,3,MY,1867,United Kingdom
351,351,229,Malaysia,United Kingdom,CPM,196,1,Malaya,1954,1,1,1,6,,3,MY,1867,United Kingdom
352,352,229,Malaysia,United Kingdom,CPM,196,1,Malaya,1955,1,1,1,6,,3,MY,1867,United Kingdom
353,353,229,Malaysia,United Kingdom,CPM,196,1,Malaya,1956,1,1,1,6,,3,MY,1867,United Kingdom
354,354,229,Malaysia,United Kingdom,CPM,196,1,Malaya,1957,1,1,1,6,1957-08-31,3,MY,1867,United Kingdom
539,539,241,Kenya,United Kingdom,Mau Mau,400,1,Kenya,1952,1,0,1,10,,4,KE,1867,United Kingdom
540,540,241,Kenya,United Kingdom,Mau Mau,400,1,Kenya,1953,2,1,1,10,,4,KE,1867,United Kingdom
541,541,241,Kenya,United Kingdom,Mau Mau,400,1,Kenya,1954,2,1,1,10,,4,KE,1867,United Kingdom
542,542,241,Kenya,United Kingdom,Mau Mau,400,1,Kenya,1955,2,1,1,10,,4,KE,1867,United Kingdom
543,543,241,Kenya,United Kingdom,Mau Mau,400,1,Kenya,1956,2,1,1,10,1956-12-31,4,KE,1867,United Kingdom
554,554,244,Morocco,France,Istiqlal,401,1,Morocco,1953,1,0,1,11,,4,MA,1776,France
555,555,244,Morocco,France,Istiqlal,401,1,Morocco,1954,1,0,1,11,,4,MA,1776,France
556,556,244,Morocco,France,Istiqlal,401,1,Morocco,1955,1,0,1,11,,4,MA,1776,France
557,557,244,Morocco,France,Istiqlal,401,1,Morocco,1956,1,0,1,11,1956-03-02,4,MA,1776,France
558,558,245,Tunisia,France,National Liberation Army,402,1,Tunisia,1953,1,0,1,4,,4,TN,1776,France
559,559,245,Tunisia,France,National Liberation Army,402,1,Tunisia,1954,1,0,1,4,,4,TN,1776,France
560,560,245,Tunisia,France,National Liberation Army,402,1,Tunisia,1955,1,0,1,4,,4,TN,1776,France
561,561,245,Tunisia,France,National Liberation Army,402,1,Tunisia,1956,1,0,1,4,1956-03-20,4,TN,1776,France
