,location,sidea,side b,incomp,year,intensity,cumint,type,startdate,startdate2,ependdate,region
0,Bolivia,Bolivia,Popular Revolutionary Movement,2,1946,2,1,3,1946-07-18,1946-07-21,1946-07-21,5
1,Bolivia,Bolivia,MNR,2,1952,1,1,3,1946-07-18,1952-04-09,1952-04-12,5
2,Bolivia,Bolivia,ELN,2,1967,1,1,3,1946-07-18,1967-03-31,1967-10-16,5
3,Cambodia ,France,Khmer Issarak,1,1946,1,0,1,1946-08-31,1946-08-31,,3
4,Cambodia ,France,Khmer Issarak,1,1947,1,0,1,1946-08-31,1946-08-31,,3
5,Cambodia ,France,Khmer Issarak,1,1948,1,0,1,1946-08-31,1946-08-31,,3
6,Cambodia ,France,Khmer Issarak,1,1949,1,0,1,1946-08-31,1946-08-31,,3
7,Cambodia ,France,Khmer Issarak,1,1950,1,0,1,1946-08-31,1946-08-31,,3
8,Cambodia ,France,Khmer Issarak,1,1951,1,0,1,1946-08-31,1946-08-31,,3
9,Cambodia ,France,Khmer Issarak,1,1952,1,0,1,1946-08-31,1946-08-31,,3
10,Cambodia ,France,Khmer Issarak,1,1953,1,0,1,1946-08-31,1946-08-31,1953-11-09,3
11,China,China,PLA,2,1946,2,1,3,1946-12-31,1946-12-31,,3
12,China,China,PLA,2,1947,2,1,3,1946-12-31,1946-12-31,,3
13,China,China,PLA,2,1948,2,1,3,1946-12-31,1946-12-31,,3
14,China,China,PLA,2,1949,2,1,3,1946-12-31,1946-12-31,1949-12-08,3
15,Greece,Greece,DSE,2,1946,2,1,3,1946-03-31,1946-03-31,,1
16,Greece,Greece,DSE,2,1947,2,1,3,1946-03-31,1946-03-31,,1
17,Greece,Greece,DSE,2,1948,2,1,3,1946-03-31,1946-03-31,,1
18,Greece,Greece,DSE,2,1949,2,1,3,1946-03-31,1946-03-31,1949-10-16,1
19,Indonesia,Netherlands,Indonesian People's Army,1,1946,1,0,1,1945-10-13,1946-12-31,,3
20,Indonesia,Netherlands,Indonesian People's Army,1,1947,1,0,1,1945-10-13,1946-12-31,,3
21,Indonesia,Netherlands,Indonesian People's Army,1,1948,1,0,1,1945-10-13,1946-12-31,,3
22,Indonesia,Netherlands,Indonesian People's Army,1,1949,1,0,1,1945-10-13,1946-12-31,1949-08-15,3
23,Iran,Iran,KDPI,1,1946,1,0,4,1946-05-31,1946-05-31,1946-12-16,2
24,Iran,Iran,KDPI,1,1966,1,1,3,1946-05-31,1966-12-31,,2
25,Iran,Iran,KDPI,1,1967,1,1,3,1946-05-31,1966-12-31,,2
26,Iran,Iran,KDPI,1,1968,1,1,3,1946-05-31,1966-12-31,1968-12-31,2
27,Iran,Iran,KDPI,1,1979,2,1,3,1946-05-31,1979-12-31,,2
28,Iran,Iran,KDPI,1,1980,2,1,3,1946-05-31,1979-12-31,,2
29,Iran,Iran,KDPI,1,1981,1,1,3,1946-05-31,1979-12-31,,2
30,Iran,Iran,KDPI,1,1982,2,1,3,1946-05-31,1979-12-31,,2
31,Iran,Iran,KDPI,1,1983,1,1,3,1946-05-31,1979-12-31,,2
32,Iran,Iran,KDPI,1,1984,1,1,3,1946-05-31,1979-12-31,,2
33,Iran,Iran,KDPI,1,1985,1,1,3,1946-05-31,1979-12-31,,2
34,Iran,Iran,KDPI,1,1986,1,1,3,1946-05-31,1979-12-31,,2
35,Iran,Iran,KDPI,1,1987,1,1,3,1946-05-31,1979-12-31,,2
36,Iran,Iran,KDPI,1,1988,1,1,3,1946-05-31,1979-12-31,1988-12-31,2
37,Iran,Iran,KDPI,1,1990,1,1,3,1946-05-31,1990-07-10,1990-08-17,2
38,Iran,Iran,KDPI,1,1993,1,1,3,1946-05-31,1993-09-12,1993-11-11,2
39,Iran,Iran,KDPI,1,1996,1,1,3,1946-05-31,1996-07-28,1996-07-28,2
40,Iran,Iran,Republic of Azerbaijan,1,1946,1,0,4,1945-11-19,1946-12-16,1946-12-16,2
41,Israel,United Kingdom,IZL [Etzel],1,1946,1,0,1,1939-03-31,1946-12-31,1946-12-31,2
42,Laos,France,Lao Issara,1,1946,1,0,1,1946-03-31,1946-03-31,,3
43,Laos,France,Lao Issara,1,1947,1,0,1,1946-03-31,1946-03-31,,3
44,Laos,France,Lao Issara,1,1948,1,0,1,1946-03-31,1946-03-31,,3
45,Laos,France,Lao Issara,1,1949,1,0,1,1946-03-31,1946-03-31,,3
46,Laos,France,Lao Issara,1,1950,1,1,1,1946-03-31,1946-03-31,,3
47,Laos,France,Lao Issara,1,1951,1,1,1,1946-03-31,1946-03-31,,3
48,Laos,France,Lao Issara,1,1952,1,1,1,1946-03-31,1946-03-31,,3
49,Laos,France,Lao Issara,1,1953,1,1,1,1946-03-31,1946-03-31,1953-12-31,3
50,Philippines,Philippines,Huk,2,1946,2,1,3,1946-07-31,1946-07-31,,3
51,Philippines,Philippines,Huk,2,1947,2,1,3,1946-07-31,1946-07-31,,3
52,Philippines,Philippines,Huk,2,1948,2,1,3,1946-07-31,1946-07-31,,3
53,Philippines,Philippines,Huk,2,1949,2,1,3,1946-07-31,1946-07-31,,3
54,Philippines,Philippines,Huk,2,1950,2,1,3,1946-07-31,1946-07-31,,3
55,Philippines,Philippines,Huk,2,1951,2,1,3,1946-07-31,1946-07-31,,3
56,Philippines,Philippines,Huk,2,1952,2,1,3,1946-07-31,1946-07-31,,3
57,Philippines,Philippines,Huk,2,1953,2,1,3,1946-07-31,1946-07-31,,3
58,Philippines,Philippines,Huk,2,1954,2,1,3,1946-07-31,1946-07-31,1954-12-31,3
59,Philippines,Philippines,CPP,2,1969,1,1,3,1946-07-31,1969-09-30,,3
60,Philippines,Philippines,CPP,2,1970,1,1,3,1946-07-31,1969-09-30,,3
61,Philippines,Philippines,CPP,2,1971,1,1,3,1946-07-31,1969-09-30,,3
62,Philippines,Philippines,CPP,2,1972,1,1,3,1946-07-31,1969-09-30,,3
63,Philippines,Philippines,CPP,2,1973,1,1,3,1946-07-31,1969-09-30,,3
64,Philippines,Philippines,CPP,2,1974,1,1,3,1946-07-31,1969-09-30,,3
65,Philippines,Philippines,CPP,2,1975,1,1,3,1946-07-31,1969-09-30,,3
66,Philippines,Philippines,CPP,2,1976,1,1,3,1946-07-31,1969-09-30,,3
67,Philippines,Philippines,CPP,2,1977,1,1,3,1946-07-31,1969-09-30,,3
68,Philippines,Philippines,CPP,2,1978,1,1,3,1946-07-31,1969-09-30,,3
69,Philippines,Philippines,CPP,2,1979,1,1,3,1946-07-31,1969-09-30,,3
70,Philippines,Philippines,CPP,2,1980,1,1,3,1946-07-31,1969-09-30,,3
