,location,ID,colonizer_country,Indep Date,sidea,side b,incomp,year,intensity,cumint,type,startdate,startdate2,ependdate,region
0,Cambodia ,KH,France,9/11/1953,France,Khmer Issarak,1,1946,1,0,1,1946-08-31,1946-08-31,,3
1,Cambodia ,KH,France,9/11/1953,France,Khmer Issarak,1,1947,1,0,1,1946-08-31,1946-08-31,,3
2,Cambodia ,KH,France,9/11/1953,France,Khmer Issarak,1,1948,1,0,1,1946-08-31,1946-08-31,,3
3,Cambodia ,KH,France,9/11/1953,France,Khmer Issarak,1,1949,1,0,1,1946-08-31,1946-08-31,,3
4,Cambodia ,KH,France,9/11/1953,France,Khmer Issarak,1,1950,1,0,1,1946-08-31,1946-08-31,,3
5,Cambodia ,KH,France,9/11/1953,France,Khmer Issarak,1,1951,1,0,1,1946-08-31,1946-08-31,,3
6,Cambodia ,KH,France,9/11/1953,France,Khmer Issarak,1,1952,1,0,1,1946-08-31,1946-08-31,,3
7,Cambodia ,KH,France,9/11/1953,France,Khmer Issarak,1,1953,1,0,1,1946-08-31,1946-08-31,1953-11-09,3
8,Israel,IL,United Kingdom,14/5/1948,United Kingdom,IZL [Etzel],1,1946,1,0,1,1939-03-31,1946-12-31,1946-12-31,2
9,Laos,LA,France,19/7/1949,France,Lao Issara,1,1946,1,0,1,1946-03-31,1946-03-31,,3
10,Laos,LA,France,19/7/1949,France,Lao Issara,1,1947,1,0,1,1946-03-31,1946-03-31,,3
11,Laos,LA,France,19/7/1949,France,Lao Issara,1,1948,1,0,1,1946-03-31,1946-03-31,,3
12,Laos,LA,France,19/7/1949,France,Lao Issara,1,1949,1,0,1,1946-03-31,1946-03-31,,3
13,Madagascar ,MG,France,26/6/1960,France,MDRM,1,1947,2,1,1,1947-03-29,1947-03-29,1947-12-31,4
14,Myanmar ,MM,United Kingdom,4/1/1948,Myanmar (Burma),"CPB, CPB-RF, PVO - ""White Band"" faction",2,1948,2,1,3,1948-02-29,1948-02-29,,3
15,Myanmar ,MM,United Kingdom,4/1/1948,Myanmar (Burma),"APLP, Mujahid Party",1,1948,1,0,3,1948-01-31,1948-01-31,,3
16,Israel,IL,United Kingdom,14/5/1948,"Egypt, Iraq, Jordan, Lebanon, Syria",Israel,1,1948,2,1,2,1948-04-15,1948-04-15,,2
17,Malaysia,MY,United Kingdom,31/8/1957,United Kingdom,CPM,1,1948,1,0,1,1948-06-19,1948-06-19,,3
18,Malaysia,MY,United Kingdom,31/8/1957,United Kingdom,CPM,1,1949,1,1,1,1948-06-19,1948-06-19,,3
19,Malaysia,MY,United Kingdom,31/8/1957,United Kingdom,CPM,1,1950,2,1,1,1948-06-19,1948-06-19,,3
20,Malaysia,MY,United Kingdom,31/8/1957,United Kingdom,CPM,1,1951,2,1,1,1948-06-19,1948-06-19,,3
21,Malaysia,MY,United Kingdom,31/8/1957,United Kingdom,CPM,1,1952,2,1,1,1948-06-19,1948-06-19,,3
22,Malaysia,MY,United Kingdom,31/8/1957,United Kingdom,CPM,1,1953,2,1,1,1948-06-19,1948-06-19,,3
23,Malaysia,MY,United Kingdom,31/8/1957,United Kingdom,CPM,1,1954,1,1,1,1948-06-19,1948-06-19,,3
24,Malaysia,MY,United Kingdom,31/8/1957,United Kingdom,CPM,1,1955,1,1,1,1948-06-19,1948-06-19,,3
25,Malaysia,MY,United Kingdom,31/8/1957,United Kingdom,CPM,1,1956,1,1,1,1948-06-19,1948-06-19,,3
26,Malaysia,MY,United Kingdom,31/8/1957,United Kingdom,CPM,1,1957,1,1,1,1948-06-19,1948-06-19,1957-08-31,3
27,Kenya,KE,United Kingdom,12/12/1963,United Kingdom,Mau Mau,1,1952,1,0,1,1952-10-22,1952-10-22,,4
28,Kenya,KE,United Kingdom,12/12/1963,United Kingdom,Mau Mau,1,1953,2,1,1,1952-10-22,1952-10-22,,4
29,Kenya,KE,United Kingdom,12/12/1963,United Kingdom,Mau Mau,1,1954,2,1,1,1952-10-22,1952-10-22,,4
30,Kenya,KE,United Kingdom,12/12/1963,United Kingdom,Mau Mau,1,1955,2,1,1,1952-10-22,1952-10-22,,4
31,Kenya,KE,United Kingdom,12/12/1963,United Kingdom,Mau Mau,1,1956,2,1,1,1952-10-22,1952-10-22,1956-12-31,4
32,Morocco,MA,France,7/4/1956,France,Istiqlal,1,1953,1,0,1,1953-11-07,1953-11-07,,4
33,Morocco,MA,France,7/4/1956,France,Istiqlal,1,1954,1,0,1,1953-11-07,1953-11-07,,4
34,Morocco,MA,France,7/4/1956,France,Istiqlal,1,1955,1,0,1,1953-11-07,1953-11-07,,4
35,Morocco,MA,France,7/4/1956,France,Istiqlal,1,1956,1,0,1,1953-11-07,1953-11-07,1956-03-02,4
36,Tunisia,TN,France,20/3/1956,France,National Liberation Army,1,1953,1,0,1,1953-04-30,1953-04-30,,4
37,Tunisia,TN,France,20/3/1956,France,National Liberation Army,1,1954,1,0,1,1953-04-30,1953-04-30,,4
38,Tunisia,TN,France,20/3/1956,France,National Liberation Army,1,1955,1,0,1,1953-04-30,1953-04-30,,4
39,Tunisia,TN,France,20/3/1956,France,National Liberation Army,1,1956,1,0,1,1953-04-30,1953-04-30,1956-03-20,4
40,Algeria,DZ,France,3/7/1962,France,FLN ,1,1954,1,0,1,1954-11-01,1954-11-29,,4
41,Algeria,DZ,France,3/7/1962,France,"FLN , MNA",1,1955,2,1,1,1954-11-01,1954-11-29,,4
42,Algeria,DZ,France,3/7/1962,France,"FLN , MNA",1,1956,2,1,1,1954-11-01,1954-11-29,,4
43,Algeria,DZ,France,3/7/1962,France,"FLN , MNA",1,1957,2,1,1,1954-11-01,1954-11-29,,4
