Year,United Kingdom,France,Spain,Russia,Portugal,Netherlands,Italy,Belgium,Denmark
1945,0,0,0,0,0,0,0,0,0
1946,2,4,0,0,0,2,0,0,0
1947,0,6,0,0,0,2,0,0,0
1948,8,4,0,0,0,2,0,0,0
1949,14,4,0,0,0,2,0,0,0
1950,12,4,0,0,0,0,0,0,0
1951,12,4,0,0,0,0,0,0,0
1952,14,4,0,0,0,0,0,0,0
1953,14,8,0,0,0,0,0,0,0
1954,14,6,0,0,0,0,0,0,0
1955,16,6,0,0,0,0,0,0,0
1956,16,6,0,0,0,0,0,0,0
1957,14,8,0,0,0,0,0,0,0
1958,14,8,0,0,0,0,0,0,0
1959,14,4,0,0,0,0,0,0,0
1960,12,4,0,0,0,0,0,2,0
1961,10,4,0,0,2,0,0,2,0
1962,10,2,0,0,2,0,0,2,0
1963,8,0,0,0,4,0,0,0,0
1964,8,0,0,0,6,0,0,0,0
1965,8,0,0,0,6,0,0,0,0
1966,8,0,0,0,6,0,0,0,0
1967,8,0,0,0,6,0,0,0,0
1968,8,0,0,0,6,0,0,0,0
1969,8,0,0,0,6,0,0,0,0
1970,8,0,0,0,6,0,0,0,0
1971,8,0,0,0,6,0,0,0,0
1972,8,0,0,0,6,0,0,0,0
1973,8,0,0,0,6,0,0,0,0
1974,10,0,0,0,4,0,0,0,0
1975,10,0,0,0,2,0,0,0,0
1976,8,0,0,0,2,0,0,0,0
1977,8,0,0,0,2,0,0,0,0
1978,8,0,0,0,2,0,0,0,0
1979,6,0,0,0,2,0,0,0,0
1980,6,0,0,0,2,0,0,0,0
1981,8,0,0,0,2,0,0,0,0
1982,6,0,0,0,2,0,0,0,0
1983,6,0,0,0,2,0,0,0,0
1984,6,2,0,0,2,0,0,0,0
1985,6,0,0,0,2,0,0,0,0
1986,6,0,0,0,2,0,0,0,0
1987,6,0,0,0,2,0,0,0,0
1988,6,0,0,0,2,0,0,0,0
1989,4,0,0,0,2,0,0,0,0
1990,8,0,0,0,2,0,0,0,0
1991,8,0,0,2,2,0,0,0,0
1992,6,0,0,2,2,0,0,0,0
1993,2,0,0,2,2,0,0,0,0
1994,8,0,0,2,2,0,0,0,0
1995,4,0,0,0,2,0,0,0,0
1996,4,0,0,0,0,0,0,0,0
1997,2,0,0,2,0,0,0,0,0
1998,2,0,0,2,2,0,0,0,0
1999,0,0,0,0,2,0,0,0,0
2000,4,0,0,0,2,0,0,0,0
2001,4,0,0,0,2,0,0,0,0
2002,4,0,0,0,2,0,0,0,0
2003,4,0,0,0,0,0,0,0,0
2004,4,0,0,0,0,0,0,0,0
2005,4,0,0,2,0,0,0,0,0
2006,4,0,0,0,0,0,0,0,0
2007,4,0,0,0,0,0,0,0,0
2008,4,0,0,2,0,0,0,0,0
2009,4,0,0,0,0,0,0,0,0
2010,4,0,0,0,0,0,0,0,0
2011,4,0,0,0,0,0,0,0,0
2012,2,0,0,2,0,0,0,0,0
2013,2,0,0,0,0,0,0,0,0
2014,2,0,0,2,0,0,0,0,0
2015,0,2,0,2,0,0,0,0,0
2016,2,2,0,2,0,0,0,0,0
