,Belgium,Denmark,France,Italy,Netherlands,Portugal,Russia,Spain,United_Kingdom,Year
0,0,0,0,0,0,0,0,0,0,1945
1,0,0,3,0,1,0,0,2,1,1946
2,0,0,4,0,1,0,0,2,0,1947
3,0,0,3,0,1,0,0,2,6,1948
4,0,0,3,0,1,0,0,2,9,1949
5,0,0,3,0,1,0,0,1,9,1950
6,0,0,3,0,0,0,0,1,8,1951
7,0,0,3,0,0,0,0,2,8,1952
8,0,0,5,0,1,0,0,2,7,1953
9,0,0,4,0,0,0,0,3,7,1954
10,0,0,4,0,0,0,0,1,8,1955
11,0,0,4,0,0,0,0,1,10,1956
12,0,0,5,0,0,0,0,2,9,1957
13,0,0,6,0,1,0,0,1,9,1958
14,0,0,4,0,1,0,0,0,10,1959
15,1,0,4,1,1,0,0,0,7,1960
16,2,0,5,0,1,1,0,1,9,1961
17,2,0,2,0,1,1,0,1,9,1962
18,0,0,3,0,1,2,0,2,11,1963
19,1,0,3,3,1,3,0,1,11,1964
20,2,0,2,1,2,3,0,4,11,1965
21,0,0,4,1,1,3,0,2,14,1966
22,1,0,4,1,1,3,0,3,16,1967
23,0,0,4,1,1,3,0,2,13,1968
24,0,0,4,1,1,3,0,4,12,1969
25,0,0,4,1,0,3,0,4,12,1970
26,0,0,6,1,0,3,0,4,13,1971
27,0,0,4,1,0,4,0,5,9,1972
28,0,0,3,1,0,3,0,5,12,1973
29,0,0,2,1,0,2,0,5,13,1974
30,0,0,6,2,1,1,0,5,12,1975
31,0,0,5,4,2,1,0,5,13,1976
32,1,0,5,6,2,2,0,6,12,1977
33,1,0,5,6,2,2,0,5,12,1978
34,0,0,4,4,1,2,0,6,12,1979
35,0,0,5,6,1,2,0,5,11,1980
36,0,0,4,4,2,2,0,5,15,1981
37,0,0,5,3,1,2,0,9,16,1982
38,0,0,5,5,1,2,0,7,17,1983
39,0,0,5,3,2,2,0,7,17,1984
40,0,0,4,3,1,2,0,7,15,1985
41,0,0,6,3,1,2,0,7,16,1986
42,0,0,6,3,2,2,0,7,19,1987
43,0,0,3,3,1,2,0,7,16,1988
44,0,0,7,3,0,2,0,10,13,1989
45,1,0,6,3,1,2,0,7,22,1990
46,2,0,6,4,1,3,2,5,20,1991
47,2,0,6,1,1,2,6,5,20,1992
48,2,0,5,1,0,1,5,5,15,1993
49,2,0,6,2,0,2,2,6,21,1994
50,1,0,4,1,0,1,2,6,19,1995
51,3,0,3,2,0,1,1,4,22,1996
52,4,0,6,1,1,1,2,4,17,1997
53,4,0,4,3,1,3,2,3,15,1998
54,4,0,3,4,2,2,1,4,13,1999
55,3,0,4,3,1,1,2,3,15,2000
56,3,0,5,2,1,1,0,3,17,2001
57,3,0,4,2,1,2,0,3,13,2002
58,1,0,4,3,1,0,0,3,16,2003
59,1,0,3,2,1,1,2,3,15,2004
60,1,0,2,2,1,0,1,3,15,2005
61,2,0,3,2,0,0,0,3,17,2006
62,2,0,4,2,0,1,0,4,16,2007
63,3,0,5,2,0,0,2,4,16,2008
64,1,0,5,2,0,1,0,4,18,2009
65,1,0,4,2,0,0,1,4,13,2010
66,2,0,7,3,0,0,1,3,16,2011
67,2,0,6,2,0,0,1,3,14,2012
68,2,0,6,2,0,1,0,3,17,2013
69,3,0,6,2,0,0,5,3,19,2014
70,1,0,13,4,0,0,2,3,20,2015
71,2,0,8,4,0,1,2,3,21,2016
