Year,United Kingdom,France,Spain,Russia,Portugal,Italy,Belgium,Netherlands,Denmark
1945,0,0,0,0,0,0,0,0,0
1946,0,1,2,0,0,0,0,1,0
1947,0,1,2,0,0,0,0,1,0
1948,2,1,2,0,0,0,0,1,0
1949,8,1,2,0,0,0,0,1,0
1950,7,3,1,0,0,0,0,1,0
1951,7,2,1,0,0,0,0,0,0
1952,6,2,2,0,0,0,0,0,0
1953,5,2,2,0,0,0,0,1,0
1954,5,1,3,0,0,0,0,0,0
1955,5,1,1,0,0,0,0,0,0
1956,7,1,1,0,0,0,0,0,0
1957,7,1,2,0,0,0,0,0,0
1958,8,2,1,0,0,0,0,1,0
1959,9,2,0,0,0,0,0,1,0
1960,7,2,0,0,0,1,0,1,0
1961,9,4,1,0,0,0,2,1,0
1962,8,1,1,0,0,0,2,1,0
1963,11,3,2,0,0,0,0,1,0
1964,11,3,1,0,0,3,1,1,0
1965,11,2,4,0,0,1,2,2,0
1966,14,4,2,0,0,1,0,1,0
1967,16,4,3,0,0,1,1,1,0
1968,13,4,2,0,0,1,0,1,0
1969,12,4,4,0,0,1,0,1,0
1970,12,4,4,0,0,1,0,0,0
1971,13,6,4,0,0,1,0,0,0
1972,9,4,5,0,1,1,0,0,0
1973,12,3,5,0,0,1,0,0,0
1974,13,2,5,0,0,1,0,0,0
1975,12,6,5,0,0,2,0,1,0
1976,13,5,5,0,1,4,0,2,0
1977,12,5,6,0,2,6,1,2,0
1978,12,5,5,0,2,6,1,2,0
1979,12,4,6,0,2,4,0,1,0
1980,11,5,5,0,2,6,0,1,0
1981,15,4,5,0,2,4,0,2,0
1982,16,5,9,0,2,3,0,1,0
1983,17,5,7,0,2,5,0,1,0
1984,17,5,7,0,2,3,0,2,0
1985,15,4,7,0,2,3,0,1,0
1986,16,6,7,0,2,3,0,1,0
1987,19,6,7,0,2,3,0,2,0
1988,16,3,7,0,2,3,0,1,0
1989,13,7,10,0,2,3,0,0,0
1990,22,6,7,0,2,3,1,1,0
1991,20,6,5,1,3,4,2,1,0
1992,20,6,5,6,2,1,2,1,0
1993,15,5,5,5,1,1,2,0,0
1994,21,6,6,2,2,2,2,0,0
1995,19,4,6,2,1,1,1,0,0
1996,22,3,4,1,1,2,3,0,0
1997,17,6,4,2,1,1,4,1,0
1998,15,4,3,2,3,3,4,1,0
1999,13,3,4,1,2,4,4,2,0
2000,15,4,3,2,1,3,3,1,0
2001,15,7,3,0,1,2,3,1,0
2002,12,5,3,0,2,2,3,1,0
2003,14,6,3,0,0,3,1,1,0
2004,14,4,3,2,1,2,1,1,0
2005,14,3,3,1,0,2,1,1,0
2006,16,4,3,0,0,2,2,0,0
2007,15,5,4,0,1,2,2,0,0
2008,15,6,4,2,0,2,3,0,0
2009,17,6,4,0,1,2,1,0,0
2010,12,5,4,1,0,2,1,0,0
2011,15,8,3,1,0,3,2,0,0
2012,13,7,3,1,0,2,2,0,0
2013,16,7,3,0,1,2,2,0,0
2014,18,7,3,5,0,2,3,0,0
2015,19,14,3,2,0,4,1,0,0
2016,20,9,3,2,1,4,2,0,0
