Year,United_Kingdom,France,Spain,Russia,Portugal,Netherlands,Italy,Belgium,Denmark
1945,0,0,0,0,0,0,0,0,0
1946,1,2,0,0,0,1,0,0,0
1947,0,3,0,0,0,1,0,0,0
1948,4,2,0,0,0,1,0,0,0
1949,7,2,0,0,0,1,0,0,0
1950,6,2,0,0,0,0,0,0,0
1951,6,2,0,0,0,0,0,0,0
1952,7,2,0,0,0,0,0,0,0
1953,7,4,0,0,0,0,0,0,0
1954,7,3,0,0,0,0,0,0,0
1955,8,3,0,0,0,0,0,0,0
1956,8,3,0,0,0,0,0,0,0
1957,7,4,0,0,0,0,0,0,0
1958,7,4,0,0,0,0,0,0,0
1959,7,2,0,0,0,0,0,0,0
1960,6,2,0,0,0,0,0,1,0
1961,5,2,0,0,1,0,0,1,0
1962,5,1,0,0,1,0,0,1,0
1963,4,0,0,0,2,0,0,0,0
1964,4,0,0,0,3,0,0,0,0
1965,4,0,0,0,3,0,0,0,0
1966,4,0,0,0,3,0,0,0,0
1967,4,0,0,0,3,0,0,0,0
1968,4,0,0,0,3,0,0,0,0
1969,4,0,0,0,3,0,0,0,0
1970,4,0,0,0,3,0,0,0,0
1971,4,0,0,0,3,0,0,0,0
1972,4,0,0,0,3,0,0,0,0
1973,4,0,0,0,3,0,0,0,0
1974,5,0,0,0,2,0,0,0,0
1975,5,0,0,0,1,0,0,0,0
1976,4,0,0,0,1,0,0,0,0
1977,4,0,0,0,1,0,0,0,0
1978,4,0,0,0,1,0,0,0,0
1979,3,0,0,0,1,0,0,0,0
1980,3,0,0,0,1,0,0,0,0
1981,4,0,0,0,1,0,0,0,0
1982,3,0,0,0,1,0,0,0,0
1983,3,0,0,0,1,0,0,0,0
1984,3,1,0,0,1,0,0,0,0
1985,3,0,0,0,1,0,0,0,0
1986,3,0,0,0,1,0,0,0,0
1987,3,0,0,0,1,0,0,0,0
1988,3,0,0,0,1,0,0,0,0
1989,2,0,0,0,1,0,0,0,0
1990,4,0,0,0,1,0,0,0,0
1991,4,0,0,1,1,0,0,0,0
1992,3,0,0,1,1,0,0,0,0
1993,1,0,0,1,1,0,0,0,0
1994,4,0,0,1,1,0,0,0,0
1995,2,0,0,0,1,0,0,0,0
1996,2,0,0,0,0,0,0,0,0
1997,1,0,0,1,0,0,0,0,0
1998,1,0,0,1,1,0,0,0,0
1999,0,0,0,0,1,0,0,0,0
2000,2,0,0,0,1,0,0,0,0
2001,2,0,0,0,1,0,0,0,0
2002,2,0,0,0,1,0,0,0,0
2003,2,0,0,0,0,0,0,0,0
2004,2,0,0,0,0,0,0,0,0
2005,2,0,0,1,0,0,0,0,0
2006,2,0,0,0,0,0,0,0,0
2007,2,0,0,0,0,0,0,0,0
2008,2,0,0,1,0,0,0,0,0
2009,2,0,0,0,0,0,0,0,0
2010,2,0,0,0,0,0,0,0,0
2011,2,0,0,0,0,0,0,0,0
2012,1,0,0,1,0,0,0,0,0
2013,1,0,0,0,0,0,0,0,0
2014,1,0,0,1,0,0,0,0,0
2015,0,1,0,1,0,0,0,0,0
2016,1,1,0,1,0,0,0,0,0
