Year,Intensity1,Intensity2
1945,0,0
1946,11,7
1947,4,10
1948,7,13
1949,12,8
1950,10,8
1951,9,6
1952,10,5
1953,9,7
1954,11,4
1955,9,4
1956,11,6
1957,15,2
1958,12,6
1959,11,5
1960,11,4
1961,12,10
1962,14,7
1963,13,7
1964,18,7
1965,19,8
1966,21,7
1967,22,11
1968,19,7
1969,21,9
1970,18,8
1971,19,10
1972,20,6
1973,19,7
1974,22,7
1975,23,7
1976,24,8
1977,28,8
1978,24,14
1979,32,10
1980,32,9
1981,29,12
1982,30,15
1983,29,14
1984,27,15
1985,25,13
1986,32,12
1987,32,15
1988,23,16
1989,30,10
1990,35,14
1991,39,13
1992,36,13
1993,34,9
1994,39,9
1995,32,8
1996,31,10
1997,33,7
1998,28,12
1999,28,12
2000,27,11
2001,30,11
2002,26,7
2003,27,8
2004,26,7
2005,27,5
2006,28,5
2007,31,4
2008,33,5
2009,31,6
2010,26,5
2011,32,6
2012,27,6
2013,30,6
2014,30,12
2015,41,11
2016,37,12
