Year,Europe,Middle_East,Asia,Africa,America
1945,0,0,0,0,0
1946,7,3,7,0,1
1947,4,0,8,1,1
1948,4,2,13,0,1
1949,2,2,15,0,1
1950,1,1,15,0,1
1951,1,2,12,0,0
1952,1,2,10,1,1
1953,0,1,11,3,1
1954,0,1,8,4,2
1955,1,1,6,4,1
1956,2,2,8,4,1
1957,1,2,8,4,2
1958,1,3,9,4,1
1959,1,2,11,2,0
1960,0,1,10,4,0
1961,2,2,11,6,1
1962,2,3,11,4,1
1963,0,4,10,4,2
1964,0,4,11,9,1
1965,0,4,12,7,4
1966,0,6,11,9,2
1967,0,8,12,10,3
1968,0,4,11,9,2
1969,1,5,13,8,3
1970,0,5,11,8,2
1971,1,2,13,11,2
1972,1,3,10,8,4
1973,1,5,11,6,3
1974,2,5,13,6,3
1975,1,4,15,7,3
1976,1,3,14,11,3
1977,1,2,15,14,4
1978,2,2,16,15,3
1979,3,9,15,11,4
1980,2,8,14,14,3
1981,2,7,16,13,3
1982,3,9,14,12,7
1983,1,6,14,16,6
1984,1,7,17,12,5
1985,2,6,14,11,5
1986,2,8,16,13,5
1987,2,7,18,14,6
1988,1,6,16,11,5
1989,2,4,13,12,9
1990,3,7,20,13,6
1991,7,8,15,17,5
1992,8,6,17,14,4
1993,9,7,13,11,3
1994,5,6,18,15,4
1995,5,6,15,10,4
1996,1,7,18,12,3
1997,1,4,19,14,2
1998,3,3,15,17,2
1999,3,3,16,16,2
2000,1,3,18,15,1
2001,3,3,16,16,3
2002,1,2,13,15,2
2003,2,3,16,11,3
2004,2,3,15,10,3
2005,2,5,16,7,2
2006,1,5,15,10,2
2007,2,4,14,12,3
2008,3,4,15,13,3
2009,1,5,15,13,3
2010,1,5,12,10,3
2011,1,6,13,16,2
2012,2,6,10,13,2
2013,1,6,14,13,2
2014,6,7,14,13,2
2015,4,10,15,21,2
2016,3,10,15,19,2
