,colonizer,number_of_conflict,year
3,France,4,1946
2,France,4,1947
13,France,3,1948
12,France,3,1949
11,France,3,1950
10,France,3,1951
9,France,3,1952
0,France,5,1953
1,France,4,1954
7,France,3,1955
6,France,3,1956
5,France,3,1957
4,France,3,1958
14,France,2,1959
16,France,1,1960
8,France,3,1961
15,France,2,1962
19,United Kingdom,1,1946
11,United Kingdom,1,1948
12,United Kingdom,1,1949
13,United Kingdom,1,1950
14,United Kingdom,1,1951
2,United Kingdom,2,1952
4,United Kingdom,2,1953
3,United Kingdom,2,1954
1,United Kingdom,3,1955
0,United Kingdom,3,1956
5,United Kingdom,2,1957
21,United Kingdom,1,1958
31,United Kingdom,1,1959
38,United Kingdom,1,1962
37,United Kingdom,1,1964
36,United Kingdom,1,1965
35,United Kingdom,1,1966
34,United Kingdom,1,1967
33,United Kingdom,1,1971
32,United Kingdom,1,1972
30,United Kingdom,1,1973
22,United Kingdom,1,1974
29,United Kingdom,1,1975
28,United Kingdom,1,1976
27,United Kingdom,1,1977
26,United Kingdom,1,1978
25,United Kingdom,1,1979
24,United Kingdom,1,1980
23,United Kingdom,1,1981
10,United Kingdom,1,1982
20,United Kingdom,1,1983
39,United Kingdom,1,1984
18,United Kingdom,1,1985
17,United Kingdom,1,1986
16,United Kingdom,1,1987
15,United Kingdom,1,1988
6,United Kingdom,1,1989
7,United Kingdom,1,1990
8,United Kingdom,1,1991
9,United Kingdom,1,1998
7,Spain,1,1957
6,Spain,1,1958
4,Spain,1,1978
3,Spain,1,1979
2,Spain,1,1980
1,Spain,1,1981
0,Spain,1,1982
10,Spain,1,1985
9,Spain,1,1986
8,Spain,1,1987
5,Spain,1,1991
13,Portugal,1,1961
12,Portugal,1,1962
11,Portugal,2,1963
9,Portugal,3,1964
8,Portugal,3,1965
7,Portugal,3,1966
6,Portugal,3,1967
5,Portugal,3,1968
4,Portugal,3,1969
3,Portugal,3,1970
2,Portugal,3,1971
1,Portugal,3,1972
0,Portugal,3,1973
10,Portugal,2,1974
0,Russia,4,1946
2,Russia,3,1947
1,Russia,3,1948
23,Russia,1,1949
24,Russia,1,1950
3,Russia,2,1990
15,Russia,1,1991
14,Russia,1,1993
13,Russia,1,1994
12,Russia,1,1995
9,Russia,1,1996
6,Russia,2,1999
8,Russia,1,2000
7,Russia,1,2001
16,Russia,1,2002
11,Russia,1,2003
18,Russia,1,2004
19,Russia,1,2005
17,Russia,1,2006
5,Russia,2,2007
21,Russia,1,2008
22,Russia,1,2009
28,Russia,1,2010
10,Russia,1,2011
20,Russia,1,2012
27,Russia,1,2013
26,Russia,1,2014
4,Russia,2,2015
25,Russia,1,2016
