,number_of_conflict,year
61,17,1946
69,14,1947
56,20,1948
57,20,1949
59,18,1950
68,14,1951
67,14,1952
64,16,1953
66,15,1954
70,13,1955
60,17,1956
62,17,1957
58,18,1958
63,16,1959
65,15,1960
53,21,1961
54,20,1962
55,20,1963
52,25,1964
47,27,1965
46,28,1966
36,33,1967
51,26,1968
43,29,1969
50,26,1970
44,29,1971
49,26,1972
48,26,1973
45,28,1974
42,30,1975
39,32,1976
31,36,1977
26,38,1978
14,41,1979
15,41,1980
13,41,1981
7,44,1982
9,43,1983
11,42,1984
28,38,1985
8,44,1986
6,47,1987
22,39,1988
17,40,1989
2,49,1990
1,52,1991
3,49,1992
10,43,1993
5,48,1994
19,40,1995
16,41,1996
20,40,1997
18,40,1998
21,40,1999
25,38,2000
23,39,2001
35,33,2002
38,32,2003
37,33,2004
40,32,2005
34,33,2006
32,35,2007
27,38,2008
29,37,2009
41,31,2010
24,38,2011
33,33,2012
30,36,2013
12,42,2014
0,52,2015
4,49,2016
