,number_of_conflict,year
0,10,1946
1,8,1947
2,8,1948
8,6,1949
10,5,1950
21,4,1951
9,5,1952
3,7,1953
7,6,1954
6,6,1955
5,6,1956
4,6,1957
11,5,1958
27,3,1959
56,1,1960
20,4,1961
18,4,1962
29,2,1963
19,4,1964
12,4,1965
17,4,1966
16,4,1967
22,3,1968
25,3,1969
26,3,1970
15,4,1971
14,4,1972
13,4,1973
28,3,1974
42,1,1975
67,1,1976
59,1,1977
31,2,1978
32,2,1979
33,2,1980
34,2,1981
37,2,1982
50,1,1983
41,1,1984
35,2,1985
39,2,1986
38,2,1987
66,1,1988
65,1,1989
24,3,1990
23,3,1991
64,1,1993
63,1,1994
62,1,1995
61,1,1996
60,1,1998
40,2,1999
58,1,2000
57,1,2001
55,1,2002
54,1,2003
53,1,2004
52,1,2005
51,1,2006
36,2,2007
49,1,2008
48,1,2009
47,1,2010
46,1,2011
45,1,2012
44,1,2013
43,1,2014
30,2,2015
68,1,2016
