,number_of_decolonization,year
27,1,1776
33,1,1804
31,1,1809
16,2,1810
15,2,1811
40,1,1816
26,1,1818
2,8,1821
22,1,1822
17,2,1825
54,1,1839
32,1,1856
50,1,1867
51,1,1868
47,1,1889
37,1,1890
24,1,1898
25,1,1901
20,2,1910
30,1,1912
45,1,1916
6,4,1918
35,1,1921
34,1,1922
44,1,1932
21,1,1944
5,5,1945
7,4,1947
10,3,1948
23,1,1949
36,1,1953
29,1,1954
11,3,1956
13,2,1957
53,1,1958
0,18,1960
14,2,1961
4,6,1962
49,1,1963
48,1,1964
12,2,1965
9,3,1966
8,3,1968
43,1,1970
19,2,1971
18,2,1973
3,6,1975
38,1,1977
28,1,1978
41,1,1980
42,1,1981
39,1,1984
46,1,1988
1,9,1991
52,1,2011
